gid,cluster,source_id,known_member,Gamma,ra,dec,pmra,pmdec,G,bp_rp,Y_index
1,cluster 1,4732508258827967360,ReticulumII,207.9743453998779,53.798646862633234,-54.056042339255605,2.707913293718148,-1.3103188972149014,18.887691497802734,0.9416484832763672,3474
1,cluster 1,4732508087029250048,ReticulumII,204.51808512229692,53.807291388970256,-54.08240995459065,2.520337695525204,-1.296934851890458,19.25662612915039,0.992218017578125,1433
1,cluster 1,4732508194404216960,ReticulumII,203.10502700229358,53.820945604564706,-54.06750083187216,2.5182695470969536,-1.083709227304634,19.258899688720703,1.0201282501220703,139
1,cluster 1,4732507983952648704,ReticulumII,202.3782523134672,53.879824036576096,-54.03004985051067,2.247959409123434,-1.3504579259678806,17.092336654663086,1.0641250610351562,2314
1,cluster 1,4732508327547439744,ReticulumII,202.18399631299613,53.76048105529258,-54.065062988084264,2.6765132045698934,-1.3972901626775773,18.792816162109375,0.9191818237304688,1045
1,cluster 1,4732504135659299584,,200.57656563713329,53.895020130572966,-54.119846609103675,2.403385020595833,-1.1045378586181902,19.783573150634766,0.4772491455078125,2856
1,cluster 1,4732598659298963712,ReticulumII,196.59512031681936,54.02252586495729,-54.035086066595994,2.704475033572224,-1.4637436901139234,20.208105087280273,0.3662071228027344,1451
1,cluster 1,4732598697955071872,ReticulumII,196.40366326241076,53.98196196275065,-54.02993398639546,2.405658768663147,-1.2620863738654573,19.32000732421875,1.1066341400146484,1452
1,cluster 1,4732507541569185152,ReticulumII,196.37410754555367,53.91612190804602,-54.0828011510918,2.221953974824272,-1.5698360736758818,18.449687957763672,0.025823593139648438,138
1,cluster 1,4732506820014686464,ReticulumII,195.31998274917888,53.739956320789624,-54.09204444612695,2.3448716807561825,-1.2780631064437145,18.477489471435547,1.0159416198730469,3395
1,cluster 1,4732507915230587776,ReticulumII,194.88022065291187,53.897734531795685,-54.04856286655024,2.828811757227423,-1.6303885327733987,20.424814224243164,0.8383808135986328,3250
1,cluster 1,4732504724070638208,ReticulumII,192.6054197022469,53.95024545380343,-54.06382955553844,2.2785359750061245,-1.2925705581117202,17.76881217956543,1.028564453125,3246
1,cluster 1,4732506716935472384,ReticulumII,192.50054891062325,53.72607393813056,-54.09944508392313,2.4018052164883903,-1.3619205877113973,18.485092163085938,0.9580650329589844,1431
1,cluster 1,4732505514344688128,ReticulumII,192.27835400648357,53.81329434118731,-54.1452748051654,2.3877816150675812,-1.067975063097151,19.284671783447266,1.0008182525634766,673
1,cluster 1,4732507301051020800,ReticulumII,191.12534969039703,53.808464416280515,-54.09948263827318,2.75958703973517,-1.6033106856716572,19.579673767089844,0.8408050537109375,2214
1,cluster 1,4732601786036995072,ReticulumII,190.89319716834652,53.9141956023496,-54.013721111839715,2.4135221784232956,-1.8949514576491067,20.394296646118164,0.9847774505615234,2441
1,cluster 1,4732507468553979392,ReticulumII,190.38551397164758,53.837425016567046,-54.0633640363965,2.238237529792069,-1.2042211952343336,18.495981216430664,0.9808673858642578,4195
1,cluster 1,4732598457436901760,ReticulumII,189.5740683578293,54.032367288483485,-54.043202554015295,2.38669517941776,-1.3321779306208668,16.900171279907227,1.0659446716308594,165
1,cluster 1,4732507885166569216,ReticulumII,189.17076624181132,53.85008873598333,-54.040733360954974,2.7008275268591535,-1.7841907498899814,19.91214370727539,0.6535396575927734,4110
1,cluster 1,4732598487502150016,ReticulumII,187.51565112475978,53.984568592867134,-54.05450700974109,2.2844250404032254,-1.3440976297321043,18.440616607666016,0.9527587890625,1450
1,cluster 1,4732506785654950016,ReticulumII,185.62219798688298,53.69980976192464,-54.09027576875089,2.358112302227892,-1.3911915547009355,17.016977310180664,1.0895252227783203,3248
1,cluster 1,4732600690819890688,ReticulumII,183.1833835477324,54.077903836962314,-53.962521842395354,2.463935254489712,-1.4849544554998508,18.0948486328125,0.15387916564941406,2580
1,cluster 1,4732651126619515008,,177.82622581507803,53.75662561756711,-53.87629792277305,2.887353712725095,-1.5131847568323682,18.99312400817871,1.0601692199707031,175
1,cluster 1,4732507571633180672,ReticulumII,176.95969671588995,53.894221821995096,-54.0732314517802,2.167563489240252,-1.8220227445992139,20.590106964111328,0.5080471038818359,3146
1,cluster 1,4732598697955071616,ReticulumII,174.37212743898652,53.9923536776084,-54.034646283313414,2.348961675103648,-1.1333028974087975,18.872453689575195,0.9155921936035156,2436
1,cluster 1,4732506338976944512,ReticulumII,173.4440269955498,53.66529772277896,-54.131756812080816,2.535941291478311,-1.5096190462618915,18.953529357910156,0.9577827453613281,2557
